experiment,experiment_label,grouping,group_value,system,system_label,count,accepted,acceptance_rate,source_metric_file,source_metric_key
test_disagreement,Specialist disagreement,disagreement_regime,high,mean_ensemble,Mean ensemble,30,19,0.6333333333333333,results/metrics/test_disagreement.json,acceptance_by_disagreement_regime.high.mean_ensemble
test_disagreement,Specialist disagreement,disagreement_regime,high,static_weighted_ensemble,Static weighted ensemble,30,15,0.5,results/metrics/test_disagreement.json,acceptance_by_disagreement_regime.high.static_weighted_ensemble
test_disagreement,Specialist disagreement,disagreement_regime,high,veto_mavs,Veto MAVS,30,3,0.1,results/metrics/test_disagreement.json,acceptance_by_disagreement_regime.high.veto_mavs
test_disagreement,Specialist disagreement,disagreement_regime,high,pure_mavs_gc,Pure MAVS-GC,30,0,0.0,results/metrics/test_disagreement.json,acceptance_by_disagreement_regime.high.pure_mavs_gc
test_disagreement,Specialist disagreement,disagreement_regime,low,mean_ensemble,Mean ensemble,30,18,0.6,results/metrics/test_disagreement.json,acceptance_by_disagreement_regime.low.mean_ensemble
test_disagreement,Specialist disagreement,disagreement_regime,low,static_weighted_ensemble,Static weighted ensemble,30,20,0.6666666666666666,results/metrics/test_disagreement.json,acceptance_by_disagreement_regime.low.static_weighted_ensemble
test_disagreement,Specialist disagreement,disagreement_regime,low,veto_mavs,Veto MAVS,30,2,0.06666666666666667,results/metrics/test_disagreement.json,acceptance_by_disagreement_regime.low.veto_mavs
test_disagreement,Specialist disagreement,disagreement_regime,low,pure_mavs_gc,Pure MAVS-GC,30,1,0.03333333333333333,results/metrics/test_disagreement.json,acceptance_by_disagreement_regime.low.pure_mavs_gc
test_disagreement,Specialist disagreement,disagreement_regime,medium,mean_ensemble,Mean ensemble,30,16,0.5333333333333333,results/metrics/test_disagreement.json,acceptance_by_disagreement_regime.medium.mean_ensemble
test_disagreement,Specialist disagreement,disagreement_regime,medium,static_weighted_ensemble,Static weighted ensemble,30,19,0.6333333333333333,results/metrics/test_disagreement.json,acceptance_by_disagreement_regime.medium.static_weighted_ensemble
test_disagreement,Specialist disagreement,disagreement_regime,medium,veto_mavs,Veto MAVS,30,5,0.16666666666666666,results/metrics/test_disagreement.json,acceptance_by_disagreement_regime.medium.veto_mavs
test_disagreement,Specialist disagreement,disagreement_regime,medium,pure_mavs_gc,Pure MAVS-GC,30,0,0.0,results/metrics/test_disagreement.json,acceptance_by_disagreement_regime.medium.pure_mavs_gc
test_false_positive_trap,False positive trap,trap_type,unsafe_high_confidence_consensus,mean_ensemble,Mean ensemble,120,120,1.0,results/metrics/test_false_positive_trap.json,acceptance_by_trap_type.unsafe_high_confidence_consensus.mean_ensemble
test_false_positive_trap,False positive trap,trap_type,unsafe_high_confidence_consensus,static_weighted_ensemble,Static weighted ensemble,120,102,0.85,results/metrics/test_false_positive_trap.json,acceptance_by_trap_type.unsafe_high_confidence_consensus.static_weighted_ensemble
test_false_positive_trap,False positive trap,trap_type,unsafe_high_confidence_consensus,veto_mavs,Veto MAVS,120,0,0.0,results/metrics/test_false_positive_trap.json,acceptance_by_trap_type.unsafe_high_confidence_consensus.veto_mavs
test_false_positive_trap,False positive trap,trap_type,unsafe_high_confidence_consensus,pure_mavs_gc,Pure MAVS-GC,120,20,0.16666666666666666,results/metrics/test_false_positive_trap.json,acceptance_by_trap_type.unsafe_high_confidence_consensus.pure_mavs_gc
test_mitigation_veto,Mitigation versus hard veto,corruption_level,0.10,mean_ensemble,Mean ensemble,20,19,0.95,results/metrics/test_mitigation_veto.json,acceptance_by_corruption_level.0.10.mean_ensemble
test_mitigation_veto,Mitigation versus hard veto,corruption_level,0.10,static_weighted_ensemble,Static weighted ensemble,20,20,1.0,results/metrics/test_mitigation_veto.json,acceptance_by_corruption_level.0.10.static_weighted_ensemble
test_mitigation_veto,Mitigation versus hard veto,corruption_level,0.10,veto_mavs,Veto MAVS,20,3,0.15,results/metrics/test_mitigation_veto.json,acceptance_by_corruption_level.0.10.veto_mavs
test_mitigation_veto,Mitigation versus hard veto,corruption_level,0.10,pure_mavs_gc,Pure MAVS-GC,20,2,0.1,results/metrics/test_mitigation_veto.json,acceptance_by_corruption_level.0.10.pure_mavs_gc
test_mitigation_veto,Mitigation versus hard veto,corruption_level,0.35,mean_ensemble,Mean ensemble,20,19,0.95,results/metrics/test_mitigation_veto.json,acceptance_by_corruption_level.0.35.mean_ensemble
test_mitigation_veto,Mitigation versus hard veto,corruption_level,0.35,static_weighted_ensemble,Static weighted ensemble,20,20,1.0,results/metrics/test_mitigation_veto.json,acceptance_by_corruption_level.0.35.static_weighted_ensemble
test_mitigation_veto,Mitigation versus hard veto,corruption_level,0.35,veto_mavs,Veto MAVS,20,3,0.15,results/metrics/test_mitigation_veto.json,acceptance_by_corruption_level.0.35.veto_mavs
test_mitigation_veto,Mitigation versus hard veto,corruption_level,0.35,pure_mavs_gc,Pure MAVS-GC,20,0,0.0,results/metrics/test_mitigation_veto.json,acceptance_by_corruption_level.0.35.pure_mavs_gc
test_mitigation_veto,Mitigation versus hard veto,corruption_level,0.60,mean_ensemble,Mean ensemble,20,17,0.85,results/metrics/test_mitigation_veto.json,acceptance_by_corruption_level.0.60.mean_ensemble
test_mitigation_veto,Mitigation versus hard veto,corruption_level,0.60,static_weighted_ensemble,Static weighted ensemble,20,19,0.95,results/metrics/test_mitigation_veto.json,acceptance_by_corruption_level.0.60.static_weighted_ensemble
test_mitigation_veto,Mitigation versus hard veto,corruption_level,0.60,veto_mavs,Veto MAVS,20,4,0.2,results/metrics/test_mitigation_veto.json,acceptance_by_corruption_level.0.60.veto_mavs
test_mitigation_veto,Mitigation versus hard veto,corruption_level,0.60,pure_mavs_gc,Pure MAVS-GC,20,0,0.0,results/metrics/test_mitigation_veto.json,acceptance_by_corruption_level.0.60.pure_mavs_gc
test_mitigation_veto,Mitigation versus hard veto,corruption_level,0.85,mean_ensemble,Mean ensemble,20,6,0.3,results/metrics/test_mitigation_veto.json,acceptance_by_corruption_level.0.85.mean_ensemble
test_mitigation_veto,Mitigation versus hard veto,corruption_level,0.85,static_weighted_ensemble,Static weighted ensemble,20,10,0.5,results/metrics/test_mitigation_veto.json,acceptance_by_corruption_level.0.85.static_weighted_ensemble
test_mitigation_veto,Mitigation versus hard veto,corruption_level,0.85,veto_mavs,Veto MAVS,20,0,0.0,results/metrics/test_mitigation_veto.json,acceptance_by_corruption_level.0.85.veto_mavs
test_mitigation_veto,Mitigation versus hard veto,corruption_level,0.85,pure_mavs_gc,Pure MAVS-GC,20,0,0.0,results/metrics/test_mitigation_veto.json,acceptance_by_corruption_level.0.85.pure_mavs_gc
test_mitigation_veto,Mitigation versus hard veto,corruption_level,1.00,mean_ensemble,Mean ensemble,20,7,0.35,results/metrics/test_mitigation_veto.json,acceptance_by_corruption_level.1.00.mean_ensemble
test_mitigation_veto,Mitigation versus hard veto,corruption_level,1.00,static_weighted_ensemble,Static weighted ensemble,20,13,0.65,results/metrics/test_mitigation_veto.json,acceptance_by_corruption_level.1.00.static_weighted_ensemble
test_mitigation_veto,Mitigation versus hard veto,corruption_level,1.00,veto_mavs,Veto MAVS,20,0,0.0,results/metrics/test_mitigation_veto.json,acceptance_by_corruption_level.1.00.veto_mavs
test_mitigation_veto,Mitigation versus hard veto,corruption_level,1.00,pure_mavs_gc,Pure MAVS-GC,20,0,0.0,results/metrics/test_mitigation_veto.json,acceptance_by_corruption_level.1.00.pure_mavs_gc
test_mitigation_veto,Mitigation versus hard veto,mitigation_level,0.00,mean_ensemble,Mean ensemble,20,12,0.6,results/metrics/test_mitigation_veto.json,acceptance_by_mitigation_level.0.00.mean_ensemble
test_mitigation_veto,Mitigation versus hard veto,mitigation_level,0.00,static_weighted_ensemble,Static weighted ensemble,20,15,0.75,results/metrics/test_mitigation_veto.json,acceptance_by_mitigation_level.0.00.static_weighted_ensemble
test_mitigation_veto,Mitigation versus hard veto,mitigation_level,0.00,veto_mavs,Veto MAVS,20,1,0.05,results/metrics/test_mitigation_veto.json,acceptance_by_mitigation_level.0.00.veto_mavs
test_mitigation_veto,Mitigation versus hard veto,mitigation_level,0.00,pure_mavs_gc,Pure MAVS-GC,20,0,0.0,results/metrics/test_mitigation_veto.json,acceptance_by_mitigation_level.0.00.pure_mavs_gc
test_mitigation_veto,Mitigation versus hard veto,mitigation_level,0.25,mean_ensemble,Mean ensemble,20,14,0.7,results/metrics/test_mitigation_veto.json,acceptance_by_mitigation_level.0.25.mean_ensemble
test_mitigation_veto,Mitigation versus hard veto,mitigation_level,0.25,static_weighted_ensemble,Static weighted ensemble,20,17,0.85,results/metrics/test_mitigation_veto.json,acceptance_by_mitigation_level.0.25.static_weighted_ensemble
test_mitigation_veto,Mitigation versus hard veto,mitigation_level,0.25,veto_mavs,Veto MAVS,20,3,0.15,results/metrics/test_mitigation_veto.json,acceptance_by_mitigation_level.0.25.veto_mavs
test_mitigation_veto,Mitigation versus hard veto,mitigation_level,0.25,pure_mavs_gc,Pure MAVS-GC,20,0,0.0,results/metrics/test_mitigation_veto.json,acceptance_by_mitigation_level.0.25.pure_mavs_gc
test_mitigation_veto,Mitigation versus hard veto,mitigation_level,0.50,mean_ensemble,Mean ensemble,20,13,0.65,results/metrics/test_mitigation_veto.json,acceptance_by_mitigation_level.0.50.mean_ensemble
test_mitigation_veto,Mitigation versus hard veto,mitigation_level,0.50,static_weighted_ensemble,Static weighted ensemble,20,16,0.8,results/metrics/test_mitigation_veto.json,acceptance_by_mitigation_level.0.50.static_weighted_ensemble
test_mitigation_veto,Mitigation versus hard veto,mitigation_level,0.50,veto_mavs,Veto MAVS,20,1,0.05,results/metrics/test_mitigation_veto.json,acceptance_by_mitigation_level.0.50.veto_mavs
test_mitigation_veto,Mitigation versus hard veto,mitigation_level,0.50,pure_mavs_gc,Pure MAVS-GC,20,0,0.0,results/metrics/test_mitigation_veto.json,acceptance_by_mitigation_level.0.50.pure_mavs_gc
test_mitigation_veto,Mitigation versus hard veto,mitigation_level,0.75,mean_ensemble,Mean ensemble,20,13,0.65,results/metrics/test_mitigation_veto.json,acceptance_by_mitigation_level.0.75.mean_ensemble
test_mitigation_veto,Mitigation versus hard veto,mitigation_level,0.75,static_weighted_ensemble,Static weighted ensemble,20,15,0.75,results/metrics/test_mitigation_veto.json,acceptance_by_mitigation_level.0.75.static_weighted_ensemble
test_mitigation_veto,Mitigation versus hard veto,mitigation_level,0.75,veto_mavs,Veto MAVS,20,3,0.15,results/metrics/test_mitigation_veto.json,acceptance_by_mitigation_level.0.75.veto_mavs
test_mitigation_veto,Mitigation versus hard veto,mitigation_level,0.75,pure_mavs_gc,Pure MAVS-GC,20,1,0.05,results/metrics/test_mitigation_veto.json,acceptance_by_mitigation_level.0.75.pure_mavs_gc
test_mitigation_veto,Mitigation versus hard veto,mitigation_level,1.00,mean_ensemble,Mean ensemble,20,16,0.8,results/metrics/test_mitigation_veto.json,acceptance_by_mitigation_level.1.00.mean_ensemble
test_mitigation_veto,Mitigation versus hard veto,mitigation_level,1.00,static_weighted_ensemble,Static weighted ensemble,20,19,0.95,results/metrics/test_mitigation_veto.json,acceptance_by_mitigation_level.1.00.static_weighted_ensemble
test_mitigation_veto,Mitigation versus hard veto,mitigation_level,1.00,veto_mavs,Veto MAVS,20,2,0.1,results/metrics/test_mitigation_veto.json,acceptance_by_mitigation_level.1.00.veto_mavs
test_mitigation_veto,Mitigation versus hard veto,mitigation_level,1.00,pure_mavs_gc,Pure MAVS-GC,20,1,0.05,results/metrics/test_mitigation_veto.json,acceptance_by_mitigation_level.1.00.pure_mavs_gc
